,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.833731135,-1.876238651,-3.391494152,-2.777312486,-1.722222964,-3.691164719,-1.155191948,-2.640816428,-3.204678779,-2.985802086,1.177235826,1.294907283,4.297821392,3.716333595,2.932172851,
Dominica,,,,,,,,,,,,,,,,,,,,,-2.404573195,-0.63069973,0.128917558,1.260185652,2.462947752,3.471998543,3.757518103,4.040351782,3.929444077,4.681190407,6.045918381,3.583739297,4.127300271,3.727986618,3.658324627,3.371690769,2.795781047,2.496615774,2.918681994,3.741844495,2.859007151,2.336790046,1.287585982,0.694215519,
Dominican Republic,,1.707174002,3.656489847,4.637075564,4.657412753,3.201225389,2.934088751,2.189855165,1.536795176,1.841310354,2.652566317,3.475716157,1.972504486,2.082263902,2.277113202,3.350471263,3.111213652,3.761434426,4.245851545,3.95235645,3.572316458,3.886939394,3.682666724,3.143335108,2.456763752,2.2662187,2.224330874,2.110219883,1.99244511,1.929741505,0.52921554,-0.053249036,0.570366528,0.824383157,1.27128772,1.75374586,2.233571525,2.591702263,3.208600172,3.504173469,4.623208933,4.972908405,4.556144315,3.735558688,
Ecuador,,1.924609682,1.454288878,1.443814772,1.631989935,1.516665936,1.269926266,1.379038457,1.649162462,1.389450869,1.299665478,1.506658791,2.475258252,4.362029787,4.607546998,5.070890737,5.942570618,6.207322719,6.368076598,6.59500357,6.379281811,6.438965639,5.177307286,2.625943018,1.928758674,1.494995683,0.810864943,-0.710903522,-0.234145446,-0.810558362,-1.030917307,-1.074437792,-0.883699797,-0.474549996,-0.389628312,-0.337582766,-0.329614083,0.745758869,-0.226458903,-0.240530637,-0.315633012,-0.411938267,-0.473470662,-0.299850106,0.011576584
"Egypt, Arab Rep.",1.652716781,1.373370667,0.921722689,0.600784062,2.74710323,3.158523691,2.761800676,2.764492669,2.725934754,2.97421855,2.690207833,2.444155682,2.996584865,2.616505165,1.145126715,0.588790016,1.98226224,2.694602476,2.207954932,2.365832935,3.118904289,2.943949983,2.801310063,3.779448356,3.912884501,4.581794776,3.772426477,3.295654471,3.384215523,3.411525479,2.781801828,3.21548552,3.176961134,2.825908231,2.775971871,2.757378488,3.330083764,2.885496658,3.132582194,3.084534156,2.971411815,2.794411964,2.775214846,2.868647029,
El Salvador,1.329930163,1.268377537,1.57164352,1.133661835,1.506762653,1.645543121,1.789377678,1.898584062,1.99127946,1.970050989,2.192663964,2.187333012,1.782761033,1.999221941,1.76025046,1.805090266,1.783661701,1.738380005,2.016630521,1.499440855,0.764531568,0.216089792,-0.470359859,-0.849401189,-0.824839382,-1.02713085,-1.43073867,-1.593195623,-1.933724999,-1.574068148,-0.712964755,-0.03119396,0.710193881,1.308476138,1.519680083,1.809300926,2.030290733,2.166603019,2.246765742,2.551987479,2.441655383,2.346679661,1.975885493,1.457595795,
Equatorial Guinea,,,,,,,,,,,2.409742805,2.592571749,2.633533616,3.579000859,4.13271633,6.936197426,8.577877495,8.927167105,7.85140098,5.938818301,4.968487218,4.405702092,4.25630634,2.262278634,1.160193329,-1.728417863,-4.474303215,-6.1694939,-4.692361271,-3.694682038,-2.037741982,-1.836164767,-0.331430313,-1.40422184,-6.016581382,-4.997448548,0.283189005,9.782656825,11.04071977,13.58093238,15.01869355,19.2149126,21.96855005,22.23329754,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.341448605,0.686923186,-0.821923524
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.273561574,1.684554311,4.571304708,4.764601897,5.652070306
Ethiopia,1.939911057,1.038571688,1.004665079,0.795558585,1.284634939,1.546943428,1.383047421,1.721173149,2.198676765,2.055354769,1.837806553,1.891598689,1.967995104,1.933887527,1.577907928,0.957614289,0.959882988,0.844482719,0.332110497,0.271984942,0.542636279,0.516845032,0.139648586,0.361550988,-0.702282764,-0.589697822,-0.674758056,-2.933158875,-0.364307166,-1.387316399,-0.854676931,-1.627391886,0.91086875,1.313678736,2.484592139,2.793653462,3.365723565,6.271855236,3.746370161,5.356858215,4.574379315,5.163430853,2.936566947,1.483041238,
